epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.363,2.28002,3.61405,1.69761,0.00897,0.31517,0.00606,0.00287,1.57649,3.56648,1.20659,0.00018337,0.00018337,0.00018337
2,217.124,1.6739,2.78276,1.21344,0.00982,0.37915,0.0797,0.03763,1.5087,3.44785,1.14013,0.000377084,0.000377084,0.000377084
3,317.381,1.6297,2.35705,1.14971,0.00978,0.36967,0.12516,0.06635,1.57976,3.27874,1.12888,0.000564196,0.000564196,0.000564196
4,412.444,1.6416,2.02594,1.17188,0.00775,0.33838,0.0774,0.03846,1.4646,3.39468,1.1773,0.000744707,0.000744707,0.000744707
5,500.03,1.53,1.84673,1.1075,0.01616,0.62925,0.24819,0.13019,1.47113,2.98765,1.11999,0.000918617,0.000918617,0.000918617
6,582.764,1.54396,1.7825,1.12,0.74823,0.27413,0.36207,0.1993,1.4656,2.70372,1.11609,0.00108593,0.00108593,0.00108593
7,673.805,1.535,1.74018,1.12282,0.8165,0.25936,0.4418,0.22908,1.46732,2.28422,1.10879,0.00124663,0.00124663,0.00124663
8,749.847,1.50416,1.67235,1.10034,0.73328,0.25062,0.42989,0.21057,1.4873,2.30122,1.12724,0.00140074,0.00140074,0.00140074
9,828.275,1.49855,1.62923,1.10686,0.61781,0.46468,0.49609,0.25819,1.4379,1.98367,1.08757,0.00144696,0.00144696,0.00144696
10,903.121,1.44077,1.54974,1.0818,0.6337,0.45138,0.51632,0.2723,1.44958,1.88069,1.08592,0.00141945,0.00141945,0.00141945
11,978.516,1.44596,1.49661,1.07219,0.59071,0.54261,0.55091,0.29467,1.45149,1.57068,1.07757,0.00139195,0.00139195,0.00139195
12,1056.59,1.50042,1.44343,1.11137,0.58874,0.46755,0.53307,0.27355,1.49275,1.55847,1.10879,0.00136444,0.00136444,0.00136444
13,1130.79,1.44185,1.4008,1.0731,0.6174,0.50303,0.56668,0.30286,1.4642,1.64397,1.10038,0.00133693,0.00133693,0.00133693
14,1204.65,1.42808,1.39404,1.08154,0.60346,0.51894,0.56222,0.28712,1.4592,1.76763,1.09526,0.00130943,0.00130943,0.00130943
15,1277.54,1.4044,1.3124,1.06009,0.63808,0.57707,0.59365,0.31578,1.41931,1.46104,1.10176,0.00128192,0.00128192,0.00128192
16,1351.78,1.37392,1.30341,1.05873,0.64466,0.56941,0.60227,0.33753,1.35861,1.38496,1.08211,0.00125442,0.00125442,0.00125442
17,1425.26,1.37059,1.31124,1.04145,0.64097,0.5498,0.59787,0.33214,1.35446,1.60092,1.07439,0.00122691,0.00122691,0.00122691
18,1498.94,1.33515,1.26179,1.02577,0.69726,0.56077,0.60051,0.33585,1.32824,1.42811,1.07479,0.00119941,0.00119941,0.00119941
19,1572.36,1.32299,1.27443,1.0252,0.75214,0.61738,0.69534,0.39525,1.31616,1.18086,1.06586,0.0011719,0.0011719,0.0011719
20,1647.87,1.33837,1.25036,1.0249,0.69148,0.61967,0.65995,0.3748,1.33947,1.23839,1.05536,0.0011444,0.0011444,0.0011444
21,1722.14,1.30918,1.18293,1.01088,0.66027,0.66671,0.6504,0.36295,1.35274,1.22115,1.0544,0.00111689,0.00111689,0.00111689
22,1796.65,1.29672,1.14175,1.02094,0.67957,0.67925,0.69494,0.38881,1.32682,1.12563,1.05008,0.00108938,0.00108938,0.00108938
23,1882.83,1.35752,1.17566,1.03358,0.70979,0.632,0.68041,0.37187,1.31886,1.17496,1.0462,0.00106188,0.00106188,0.00106188
24,1957.12,1.29951,1.19001,1.03161,0.71189,0.63684,0.69279,0.38747,1.33635,1.13202,1.05934,0.00103437,0.00103437,0.00103437
25,2031.07,1.25618,1.09413,1.00314,0.69096,0.64509,0.69581,0.38357,1.34687,1.102,1.0678,0.00100687,0.00100687,0.00100687
26,2105.23,1.25725,1.1136,1.01278,0.71562,0.61957,0.69098,0.38375,1.32705,1.14247,1.04561,0.000979362,0.000979362,0.000979362
27,2178.38,1.26096,1.0551,1.00386,0.70243,0.63152,0.67105,0.37275,1.33014,1.15728,1.05298,0.000951857,0.000951857,0.000951857
28,2252.2,1.25047,1.09412,1.01533,0.70928,0.64392,0.6682,0.3708,1.32655,1.20877,1.05559,0.000924352,0.000924352,0.000924352
29,2324.59,1.26623,1.0751,1.00871,0.73002,0.64238,0.69804,0.38838,1.30374,1.09309,1.04448,0.000896846,0.000896846,0.000896846
30,2397.64,1.25648,1.07164,0.99704,0.66048,0.68316,0.70462,0.38413,1.33646,1.07654,1.06001,0.00086934,0.00086934,0.00086934
31,2477.64,1.27539,1.07919,0.99447,0.64267,0.70894,0.67699,0.37368,1.28692,1.13832,1.04847,0.000841835,0.000841835,0.000841835
32,2557.87,1.27127,1.0443,1.00199,0.76498,0.66264,0.73556,0.42493,1.26323,1.03266,1.05008,0.000814329,0.000814329,0.000814329
33,2640.31,1.23679,1.01709,0.98895,0.76427,0.66907,0.73313,0.41897,1.25657,1.01376,1.03486,0.000786824,0.000786824,0.000786824
34,2722.5,1.26656,0.99674,0.98418,0.6937,0.68045,0.70352,0.40733,1.28222,1.03749,1.03614,0.000759318,0.000759318,0.000759318
35,2798.83,1.1987,0.98117,0.97968,0.70456,0.7172,0.71711,0.43088,1.23842,1.03243,1.02255,0.000731813,0.000731813,0.000731813
36,2872.85,1.19843,0.96468,0.97247,0.71699,0.69245,0.72276,0.42487,1.27004,1.03053,1.03073,0.000704307,0.000704307,0.000704307
37,2945.93,1.20737,0.97213,0.99712,0.71217,0.71384,0.73989,0.43493,1.26678,1.0039,1.02397,0.000676802,0.000676802,0.000676802
